puuid,tier,tier_band,churned,total_games,games_trend,games_per_active_day,net_wins,days_since_last,win_rate,win_rate_trend,avg_kda,avg_duration_min,longest_loss_streak,unique_champions,top_champion_share,role_focus,primary_role,night_share,account_level,time_dead_share,team_death_leader_share,game_death_leader_share,avg_kill_participation,avg_team_damage_share,avg_multikills,avg_frustration_pings,first_blood_rate,surrender_loss_share,avg_loss_duration_min
-0jUMx2qQvZ1IAx60gOz__nlynUyHanjCT9ZrgZPgv7lGN7v_CnlEXL0azwmWkjjMGUAbON7SNvgug,GRANDMASTER,high,0,107,-21,3.06,9,17,0.5421,-0.2842,4.557,28.37,8,20,0.28,0.561,JUNGLE,0.0,489,0.0878,0.215,0.1028,0.5626,0.1897,0.841,12.075,0.0654,0.1308,28.4
-24JAEu70lmkkX8Qy_Ny4MHg4bpJdwGGH89CXFukOpH_gr4BRZSXrxBuiqoxD3seepgJukTLJKervg,SILVER,low,0,64,-10,2.37,-10,10,0.4219,-0.1532,2.222,31.49,7,25,0.172,0.531,JUNGLE,0.031,745,0.1325,0.5312,0.3281,0.4112,0.1684,0.516,8.438,0.0469,0.0312,32.18
-CeOkEwxJTm2QDCMIwaOQQskaP9wlC1GZURm8mb-OG_sqQE-PLZkGSJSihtKDSnksYVXvp52xv4fEw,PLATINUM,mid,1,196,180,5.6,10,21,0.5255,-0.234,3.378,30.95,8,32,0.143,0.847,MIDDLE,0.255,733,0.1144,0.2398,0.1122,0.4011,0.2046,0.643,10.582,0.1173,0.0612,31.71
-VV2Sjh__oX37TGsa61RJ40AdtbSRfmxpHtvXbCO0VWHlVMQcCWEN8o1-0Dy296DancFbUPQln32Tg,GOLD,mid,0,42,42,2.21,2,17,0.5238,0.0,2.984,29.64,3,14,0.214,0.952,BOTTOM,0.048,553,0.1148,0.3333,0.1429,0.4421,0.2106,0.952,7.571,0.119,0.2143,29.36
-dEjhcszO9SKrKHaAU8KrzC0-VOUaRxzKdUP4-DaeH6DUWtSqcobbw1vNeJEk4SluaQUs4lJIapUfQ,GRANDMASTER,high,0,107,107,4.86,15,1,0.5701,0.0,4.639,27.25,6,11,0.748,0.841,JUNGLE,0.196,817,0.1042,0.2336,0.0748,0.5796,0.2299,0.832,18.981,0.0935,0.0748,29.04
-o4j_dT_dSSga2Fvb4qFaK33eDzidBRJZzHP35QUWcmCx6cemTWqYmD1wkiv6RNtj6A8KUB75y-bTA,GOLD,mid,0,37,23,2.31,5,5,0.5676,-0.0048,3.275,27.89,4,13,0.351,0.865,UTILITY,0.135,129,0.0972,0.2432,0.1351,0.519,0.1177,0.054,2.0,0.0811,0.1081,26.98
-qwqSiAIh01OugrmprUbObXnJQwjkGhakHodgxtiMySlEKo-VEDZNFIrGdpgcaeHzu7Qaa8HtMUWxg,BRONZE,low,0,117,19,2.44,-9,0,0.4615,-0.0837,2.572,32.22,5,11,0.419,0.556,TOP,0.222,139,0.1175,0.1966,0.1197,0.377,0.1838,0.641,6.171,0.1282,0.0342,31.65
-r1-cV1BqqLxp_2wbdT-SRJCUimoFjF6Irenf1nkuaRYaHJQSoigjMr_bhhNlnJEREDI7VJDE9ylaA,GRANDMASTER,high,0,207,-17,5.91,-1,1,0.4976,-0.0053,4.269,26.75,7,31,0.179,0.874,JUNGLE,0.01,446,0.1079,0.2271,0.1353,0.56,0.2373,0.952,26.188,0.0628,0.087,27.6
02ddf3lh9G9QJ4FTL8AKlnHqUv1nSRBmcmPNnEnhOJPfiSRdToX8o34_n2XK6ZSQkoAcFUxVfR17cw,MASTER,high,0,207,149,4.14,3,1,0.5072,-0.2121,3.747,27.98,7,48,0.179,0.85,JUNGLE,0.0,613,0.1083,0.2415,0.1304,0.5263,0.2233,0.778,14.841,0.0773,0.1014,28.92
06Su5g4BdYnQP26jFejvLHBDqwzGBVY2ofAFGE9_1cM7nzFKlo_NSr6zlNkaTV4_L0_hD7RdF-vWjA,GOLD,mid,0,30,4,4.29,0,58,0.5,0.0679,5.253,33.38,3,3,0.467,0.567,BOTTOM,0.6,57,0.0886,0.2,0.1333,0.5691,0.2216,1.367,5.133,0.1,0.0,33.51
0PneYK3cDp7ucM8ySAQzk4t-5DCqwAAdIvEi8fFGDgQC9zQDxQ7_ZyNqvt6RdTaJ1uV5Bjp1atMnrg,GRANDMASTER,high,0,203,141,3.69,33,1,0.5813,0.0388,3.848,27.52,5,19,0.172,0.842,MIDDLE,0.059,702,0.0949,0.2266,0.1034,0.4684,0.2576,0.68,3.335,0.1084,0.0936,27.9
0Rj3nwMeeKMam5RU_PhhVYIjRlk4u-PTvHUuGGzz4Dp6XLkyoo7s24SDA0xUaXmpYYtBRqGwD6PDVw,EMERALD,mid,0,124,34,4.13,0,9,0.5,0.0523,3.871,30.76,6,30,0.161,0.847,MIDDLE,0.032,95,0.0991,0.1694,0.0806,0.4478,0.2353,0.879,10.694,0.121,0.0726,30.38
